Frequencia(Hz),Original_Magnitude,Filtrado_Magnitude
46.40,2318348.422240,2318310.133285
46.50,2304466.566190,2304425.994674
46.60,2290931.325811,2290888.716205
46.70,2277457.442252,2277413.062514
46.80,2264587.848476,2264541.988115
46.90,2252483.181504,2252436.149809
47.00,2240594.232580,2240546.356550
47.10,2229845.525635,2229797.147852
47.20,2219749.120656,2219700.596409
47.30,2210406.371478,2210358.066281
47.40,2202306.735161,2202259.018952
47.50,2195220.430265,2195173.677736
47.60,2189213.241034,2189167.823583
47.70,2184556.153443,2184512.437069
47.80,2180996.151475,2180954.489061
47.90,2178443.798211,2178404.534269
48.00,2177403.000959,2177366.453537
48.10,2177825.416951,2177791.883349
48.20,2179231.950082,2179201.704004
48.30,2182022.211592,2181995.488915
48.40,2186051.268412,2186028.276264
48.50,2191326.643395,2191307.551175
48.60,2197869.849694,2197854.787756
48.70,2205350.778237,2205339.840784
48.80,2214004.129535,2213997.364929
48.90,2223554.733047,2223552.143748
49.00,2233990.115082,2233991.678851
49.10,2245377.075171,2245382.715334
49.20,2257285.648237,2257295.257688
49.30,2269734.722360,2269748.155888
49.40,2282785.018607,2282802.085931
49.50,2296186.533573,2296207.021991
49.60,2309798.252664,2309821.921196
49.70,2323466.418405,2323492.993934
49.80,2337467.913491,2337497.096830
49.90,2351138.213534,2351169.686989
50.00,2364478.334827,2364511.761934
50.10,2377633.421130,2377668.450626
50.20,2390345.082996,2390381.351073
50.30,2402777.180405,2402814.312899
50.40,2414305.016992,2414342.635929
50.50,2425027.317956,2425065.040238
50.60,2435105.322433,2435142.764652
50.70,2444613.224495,2444650.005287
50.80,2452703.046759,2452738.789747
50.90,2459916.637125,2459950.976701
51.00,2466245.408605,2466277.984752
51.10,2471285.507420,2471315.979659
51.20,2474902.797664,2474930.835864
51.30,2477693.968070,2477719.259751
