Frequency(Hz),Magnitude(dB)
337.04,-0.17
337.54,-0.17
338.04,-0.17
338.54,-0.17
339.04,-0.17
339.54,-0.17
340.04,-0.17
340.54,-0.18
341.04,-0.18
341.54,-0.18
342.04,-0.18
342.54,-0.18
343.04,-0.18
343.54,-0.18
344.04,-0.18
344.54,-0.18
345.04,-0.18
345.54,-0.18
346.04,-0.18
346.54,-0.18
347.04,-0.18
347.54,-0.18
348.04,-0.18
348.54,-0.18
349.04,-0.19
349.54,-0.19
350.04,-0.19
350.54,-0.19
351.04,-0.19
351.54,-0.19
352.04,-0.19
352.54,-0.19
353.04,-0.19
353.54,-0.19
354.04,-0.19
354.54,-0.19
355.04,-0.19
355.54,-0.19
356.04,-0.19
356.54,-0.19
357.04,-0.19
357.54,-0.20
358.04,-0.20
358.54,-0.20
359.04,-0.20
359.54,-0.20
360.05,-0.20
360.55,-0.20
361.05,-0.20
361.55,-0.20
362.05,-0.20
362.55,-0.20
363.05,-0.20
363.55,-0.20
364.05,-0.20
364.55,-0.20
365.05,-0.20
365.55,-0.21
366.05,-0.21
366.55,-0.21
367.05,-0.21
367.55,-0.21
368.05,-0.21
368.55,-0.21
369.05,-0.21
369.55,-0.21
370.05,-0.21
370.55,-0.21
371.05,-0.21
371.55,-0.21
372.05,-0.21
372.55,-0.21
373.05,-0.22
373.55,-0.22
374.05,-0.22
374.55,-0.22
375.05,-0.22
375.55,-0.22
376.05,-0.22
376.55,-0.22
377.05,-0.22
377.55,-0.22
378.05,-0.22
378.55,-0.22
379.05,-0.22
379.55,-0.22
380.05,-0.22
380.55,-0.23
381.05,-0.23
381.55,-0.23
382.05,-0.23
382.55,-0.23
383.05,-0.23
383.55,-0.23
384.05,-0.23
384.55,-0.23
385.05,-0.23
385.55,-0.23
386.05,-0.23
386.55,-0.23
387.05,-0.23
387.55,-0.23
388.05,-0.24
388.55,-0.24
389.05,-0.24
389.55,-0.24
390.05,-0.24
390.55,-0.24
391.05,-0.24
391.55,-0.24
392.05,-0.24
392.55,-0.24
393.05,-0.24
393.55,-0.24
394.05,-0.24
394.55,-0.24
395.05,-0.25
395.55,-0.25
396.05,-0.25
396.55,-0.25
397.05,-0.25
397.55,-0.25
398.05,-0.25
398.55,-0.25
399.05,-0.25
399.55,-0.25
400.05,-0.25
400.55,-0.25
401.05,-0.25
401.55,-0.25
402.05,-0.26
402.55,-0.26
403.05,-0.26
403.55,-0.26
404.05,-0.26
404.55,-0.26
405.05,-0.26
405.55,-0.26
406.05,-0.26
406.55,-0.26
407.05,-0.26
407.55,-0.26
408.05,-0.26
408.55,-0.27
409.05,-0.27
409.55,-0.27
410.05,-0.27
410.55,-0.27
411.05,-0.27
411.55,-0.27
412.05,-0.27
412.55,-0.27
413.05,-0.27
413.55,-0.27
414.05,-0.27
414.55,-0.27
415.05,-0.28
415.55,-0.28
416.05,-0.28
416.55,-0.28
417.05,-0.28
417.55,-0.28
418.05,-0.28
418.55,-0.28
419.05,-0.28
419.55,-0.28
420.05,-0.28
420.55,-0.28
421.05,-0.28
421.55,-0.29
422.05,-0.29
422.55,-0.29
423.05,-0.29
423.55,-0.29
424.05,-0.29
424.55,-0.29
425.05,-0.29
425.55,-0.29
426.05,-0.29
426.55,-0.29
427.05,-0.29
427.55,-0.29
428.05,-0.30
428.55,-0.30
429.05,-0.30
429.55,-0.30
430.05,-0.30
430.55,-0.30
431.05,-0.30
431.55,-0.30
432.05,-0.30
432.55,-0.30
433.05,-0.30
433.55,-0.30
434.05,-0.31
434.55,-0.31
435.05,-0.31
435.55,-0.31
436.05,-0.31
436.55,-0.31
437.05,-0.31
437.55,-0.31
438.05,-0.31
438.55,-0.31
439.05,-0.31
439.55,-0.31
440.06,-0.32
440.56,-0.32
441.06,-0.32
441.56,-0.32
442.06,-0.32
442.56,-0.32
443.06,-0.32
443.56,-0.32
444.06,-0.32
444.56,-0.32
445.06,-0.32
445.56,-0.33
446.06,-0.33
446.56,-0.33
447.06,-0.33
447.56,-0.33
448.06,-0.33
448.56,-0.33
449.06,-0.33
449.56,-0.33
450.06,-0.33
450.56,-0.33
451.06,-0.33
451.56,-0.34
452.06,-0.34
452.56,-0.34
453.06,-0.34
453.56,-0.34
454.06,-0.34
454.56,-0.34
455.06,-0.34
455.56,-0.34
456.06,-0.34
456.56,-0.34
457.06,-0.35
457.56,-0.35
458.06,-0.35
458.56,-0.35
459.06,-0.35
459.56,-0.35
460.06,-0.35
460.56,-0.35
461.06,-0.35
461.56,-0.35
462.06,-0.35
462.56,-0.36
463.06,-0.36
463.56,-0.36
464.06,-0.36
464.56,-0.36
465.06,-0.36
465.56,-0.36
466.06,-0.36
466.56,-0.36
467.06,-0.36
467.56,-0.36
468.06,-0.37
468.56,-0.37
469.06,-0.37
469.56,-0.37
470.06,-0.37
470.56,-0.37
471.06,-0.37
471.56,-0.37
472.06,-0.37
472.56,-0.37
473.06,-0.38
473.56,-0.38
474.06,-0.38
474.56,-0.38
475.06,-0.38
475.56,-0.38
476.06,-0.38
476.56,-0.38
477.06,-0.38
477.56,-0.38
478.06,-0.38
478.56,-0.39
479.06,-0.39
479.56,-0.39
480.06,-0.39
480.56,-0.39
481.06,-0.39
481.56,-0.39
482.06,-0.39
482.56,-0.39
483.06,-0.39
483.56,-0.40
484.06,-0.40
484.56,-0.40
485.06,-0.40
485.56,-0.40
486.06,-0.40
486.56,-0.40
487.06,-0.40
487.56,-0.40
488.06,-0.40
488.56,-0.41
489.06,-0.41
489.56,-0.41
490.06,-0.41
490.56,-0.41
491.06,-0.41
491.56,-0.41
492.06,-0.41
492.56,-0.41
493.06,-0.42
493.56,-0.42
494.06,-0.42
494.56,-0.42
495.06,-0.42
495.56,-0.42
496.06,-0.42
496.56,-0.42
497.06,-0.42
497.56,-0.42
498.06,-0.43
498.56,-0.43
499.06,-0.43
499.56,-0.43
500.06,-0.43
500.56,-0.43
501.06,-0.43
501.56,-0.43
502.06,-0.43
502.56,-0.43
503.06,-0.44
503.56,-0.44
504.06,-0.44
504.56,-0.44
505.06,-0.44
505.56,-0.44
506.06,-0.44
506.56,-0.44
507.06,-0.44
507.56,-0.45
508.06,-0.45
508.56,-0.45
509.06,-0.45
509.56,-0.45
510.06,-0.45
510.56,-0.45
511.06,-0.45
511.56,-0.45
512.06,-0.46
512.56,-0.46
513.06,-0.46
513.56,-0.46
514.06,-0.46
514.56,-0.46
515.06,-0.46
515.56,-0.46
516.06,-0.46
516.56,-0.47
517.06,-0.47
517.56,-0.47
518.06,-0.47
518.56,-0.47
519.06,-0.47
519.56,-0.47
520.07,-0.47
520.57,-0.47
521.07,-0.48
521.57,-0.48
522.07,-0.48
522.57,-0.48
523.07,-0.48
523.57,-0.48
524.07,-0.48
524.57,-0.48
525.07,-0.48
525.57,-0.49
526.07,-0.49
526.57,-0.49
527.07,-0.49
527.57,-0.49
528.07,-0.49
528.57,-0.49
529.07,-0.49
529.57,-0.50
530.07,-0.50
530.57,-0.50
531.07,-0.50
531.57,-0.50
532.07,-0.50
532.57,-0.50
533.07,-0.50
533.57,-0.50
534.07,-0.51
534.57,-0.51
535.07,-0.51
535.57,-0.51
536.07,-0.51
536.57,-0.51
537.07,-0.51
537.57,-0.51
538.07,-0.52
538.57,-0.52
539.07,-0.52
539.57,-0.52
540.07,-0.52
540.57,-0.52
541.07,-0.52
541.57,-0.52
542.07,-0.53
542.57,-0.53
543.07,-0.53
543.57,-0.53
544.07,-0.53
544.57,-0.53
545.07,-0.53
545.57,-0.53
546.07,-0.54
546.57,-0.54
547.07,-0.54
547.57,-0.54
548.07,-0.54
548.57,-0.54
549.07,-0.54
549.57,-0.54
550.07,-0.55
550.57,-0.55
551.07,-0.55
551.57,-0.55
552.07,-0.55
552.57,-0.55
553.07,-0.55
553.57,-0.55
554.07,-0.56
554.57,-0.56
555.07,-0.56
555.57,-0.56
556.07,-0.56
556.57,-0.56
557.07,-0.56
557.57,-0.56
558.07,-0.57
558.57,-0.57
559.07,-0.57
559.57,-0.57
560.07,-0.57
560.57,-0.57
561.07,-0.57
561.57,-0.57
562.07,-0.58
562.57,-0.58
563.07,-0.58
563.57,-0.58
564.07,-0.58
564.57,-0.58
565.07,-0.58
565.57,-0.59
566.07,-0.59
566.57,-0.59
567.07,-0.59
567.57,-0.59
568.07,-0.59
568.57,-0.59
569.07,-0.59
569.57,-0.60
570.07,-0.60
570.57,-0.60
571.07,-0.60
571.57,-0.60
572.07,-0.60
572.57,-0.60
573.07,-0.61
573.57,-0.61
574.07,-0.61
574.57,-0.61
575.07,-0.61
575.57,-0.61
576.07,-0.61
576.57,-0.62
577.07,-0.62
577.57,-0.62
578.07,-0.62
578.57,-0.62
579.07,-0.62
579.57,-0.62
580.07,-0.62
580.57,-0.63
581.07,-0.63
581.57,-0.63
582.07,-0.63
582.57,-0.63
583.07,-0.63
583.57,-0.63
584.07,-0.64
584.57,-0.64
585.07,-0.64
585.57,-0.64
586.07,-0.64
586.57,-0.64
587.07,-0.64
587.57,-0.65
588.07,-0.65
588.57,-0.65
589.07,-0.65
589.57,-0.65
590.07,-0.65
590.57,-0.65
591.07,-0.66
591.57,-0.66
592.07,-0.66
592.57,-0.66
593.07,-0.66
593.57,-0.66
594.07,-0.66
594.57,-0.67
595.07,-0.67
595.57,-0.67
596.07,-0.67
596.57,-0.67
597.07,-0.67
597.57,-0.68
598.07,-0.68
598.57,-0.68
599.07,-0.68
599.57,-0.68
600.08,-0.68
600.58,-0.68
601.08,-0.69
601.58,-0.69
602.08,-0.69
602.58,-0.69
603.08,-0.69
603.58,-0.69
604.08,-0.69
604.58,-0.70
605.08,-0.70
605.58,-0.70
606.08,-0.70
606.58,-0.70
607.08,-0.70
607.58,-0.71
608.08,-0.71
608.58,-0.71
609.08,-0.71
609.58,-0.71
610.08,-0.71
610.58,-0.71
611.08,-0.72
611.58,-0.72
612.08,-0.72
612.58,-0.72
613.08,-0.72
613.58,-0.72
614.08,-0.73
614.58,-0.73
615.08,-0.73
615.58,-0.73
616.08,-0.73
616.58,-0.73
617.08,-0.73
617.58,-0.74
618.08,-0.74
618.58,-0.74
619.08,-0.74
619.58,-0.74
620.08,-0.74
620.58,-0.75
621.08,-0.75
621.58,-0.75
622.08,-0.75
622.58,-0.75
623.08,-0.75
623.58,-0.76
624.08,-0.76
624.58,-0.76
625.08,-0.76
625.58,-0.76
626.08,-0.76
626.58,-0.77
627.08,-0.77
627.58,-0.77
628.08,-0.77
628.58,-0.77
629.08,-0.77
629.58,-0.77
630.08,-0.78
630.58,-0.78
631.08,-0.78
631.58,-0.78
632.08,-0.78
632.58,-0.78
633.08,-0.79
633.58,-0.79
634.08,-0.79
634.58,-0.79
635.08,-0.79
635.58,-0.79
636.08,-0.80
636.58,-0.80
637.08,-0.80
637.58,-0.80
638.08,-0.80
638.58,-0.80
639.08,-0.81
639.58,-0.81
640.08,-0.81
640.58,-0.81
641.08,-0.81
641.58,-0.82
642.08,-0.82
642.58,-0.82
643.08,-0.82
643.58,-0.82
644.08,-0.82
644.58,-0.83
645.08,-0.83
645.58,-0.83
646.08,-0.83
646.58,-0.83
647.08,-0.83
647.58,-0.84
648.08,-0.84
648.58,-0.84
649.08,-0.84
649.58,-0.84
650.08,-0.84
650.58,-0.85
651.08,-0.85
651.58,-0.85
652.08,-0.85
652.58,-0.85
653.08,-0.86
653.58,-0.86
654.08,-0.86
654.58,-0.86
655.08,-0.86
655.58,-0.86
656.08,-0.87
656.58,-0.87
657.08,-0.87
657.58,-0.87
658.08,-0.87
658.58,-0.87
659.08,-0.88
659.58,-0.88
660.08,-0.88
660.58,-0.88
661.08,-0.88
